gene,pvalue_hom,cell_type,condition
Pitpnc1,0.414216178242525,Cardiac_Neuronal,F1_Young
Plce1,0.582125496711826,Cardiac_Neuronal,F1_Young
Prex2,0.543486704623824,Cardiac_Neuronal,F1_Young
Prkca,0.405973970638119,Cardiac_Neuronal,F1_Young
Prkg1,0.102470434859749,Cardiac_Neuronal,F1_Young
Ptprz1,0.102470434859749,Cardiac_Neuronal,F1_Young
Qki,0.805016995814251,Cardiac_Neuronal,F1_Young
Rbms1,0.617075077451974,Cardiac_Neuronal,F1_Young
Rock2,0.827259346562712,Cardiac_Neuronal,F1_Young
Rora,0.612089880089257,Cardiac_Neuronal,F1_Young
Scn7a,0.613763586589755,Cardiac_Neuronal,F1_Young
Sgcz,0.623353213308703,Cardiac_Neuronal,F1_Young
Slc35f1,0.426685118282096,Cardiac_Neuronal,F1_Young
Sorbs2,0.631181088832624,Cardiac_Neuronal,F1_Young
Sparc,0.248252541263804,Cardiac_Neuronal,F1_Young
Sptbn1,0.213714522835557,Cardiac_Neuronal,F1_Young
Stard13,0.979045140645175,Cardiac_Neuronal,F1_Young
Tbc1d5,0.298958824544698,Cardiac_Neuronal,F1_Young
Utrn,0.343474581844464,Cardiac_Neuronal,F1_Young
Zeb2,0.0593464387919199,Cardiac_Neuronal,F1_Young
Zswim6,0.33750679996553,Cardiac_Neuronal,F1_Young
0610005C13Rik,4.10802794210114e-10,Cardiomyocyte,F1_Aged
0610009E02Rik,0.161513316937632,Cardiomyocyte,F1_Aged
0610009L18Rik,1,Cardiomyocyte,F1_Aged
0610025J13Rik,0.317310507862911,Cardiomyocyte,F1_Aged
0610038B21Rik,0.000707657383108821,Cardiomyocyte,F1_Aged
0610040B10Rik,0.000351409411260442,Cardiomyocyte,F1_Aged
0610040F04Rik,0.19364643126921,Cardiomyocyte,F1_Aged
0610040J01Rik,6.45022662812381e-07,Cardiomyocyte,F1_Aged
0610043K17Rik,0.250657620556367,Cardiomyocyte,F1_Aged
1110002E22Rik,0.654597712652269,Cardiomyocyte,F1_Aged
1110002L01Rik,5.63976691836574e-36,Cardiomyocyte,F1_Aged
1110004F10Rik,0.0229716079091486,Cardiomyocyte,F1_Aged
1110018N20Rik,0.196705602458943,Cardiomyocyte,F1_Aged
1110019D14Rik,0.028999032719774,Cardiomyocyte,F1_Aged
1110020A21Rik,0.233509621907896,Cardiomyocyte,F1_Aged
1110035H17Rik,0.108809430040546,Cardiomyocyte,F1_Aged
1110038B12Rik,1,Cardiomyocyte,F1_Aged
1110038F14Rik,0.154220053735479,Cardiomyocyte,F1_Aged
1110046J04Rik,2.48266030764553e-05,Cardiomyocyte,F1_Aged
1110059E24Rik,0.018602108711145,Cardiomyocyte,F1_Aged
1110059G10Rik,0.825199067091841,Cardiomyocyte,F1_Aged
1110065P20Rik,0.00159499361695052,Cardiomyocyte,F1_Aged
1190005I06Rik,0.00944416568783265,Cardiomyocyte,F1_Aged
1200007C13Rik,0.183677646764354,Cardiomyocyte,F1_Aged
1300014J16Rik,0.592980098017427,Cardiomyocyte,F1_Aged
1500002F19Rik,1.25327849068027e-06,Cardiomyocyte,F1_Aged
1500004A13Rik,0.0131373323826603,Cardiomyocyte,F1_Aged
1500009L16Rik,0.0388603694221156,Cardiomyocyte,F1_Aged
1500015A07Rik,0.291840544784256,Cardiomyocyte,F1_Aged
1500026H17Rik,1.26112242149191e-06,Cardiomyocyte,F1_Aged
1500035N22Rik,0.00226346981203518,Cardiomyocyte,F1_Aged
